시장,종목명,코드,최종확률,예측시점가격,목표가,손절가
ETF,KODEX 2차전지산업레버리지,462330,43.61933233480249,2890,3005,2803
ETF,KODEX 코스닥150선물인버스,251340,40.57911015050265,1973,2051,1913
ETF,KODEX 인버스,114800,51.143508807794404,1154,1200,1119
ETF,TIGER 200선물인버스2X,252710,51.463580584902836,129,134,125
ETF,KODEX 코스닥150레버리지,233740,45.43234333999212,17005,17685,16494
ETF,TIGER 반도체TOP10,396500,45.7625093186296,46375,48230,44983
ETF,KODEX 코스닥150,229200,45.12172312979177,20125,20930,19521
ETF,TIGER 미국S&P500,360750,53.9612000210562,26820,27892,26015
ETF,KODEX 200,069500,47.04776595195349,115810,120442,112335
ETF,KODEX 200타겟위클리커버드콜,498400,47.9592585043376,23355,24289,22654
ETF,TIGER 코리아AI전력기기TOP3플러스,0117V0,45.70114349895162,32565,33867,31588
ETF,KODEX 조선TOP10,0115D0,53.801196302177125,11160,11606,10825
ETF,RISE AI전력인프라,0101N0,46.80636725056119,31475,32734,30530
ETF,TIGER 리츠부동산인프라,329200,37.44351509468906,4530,4711,4394
ETF,KODEX WTI원유선물인버스(H),271050,46.84178498554787,2060,2142,1998
ETF,KODEX 자동차,091180,47.86109250926841,35565,36987,34498
ETF,TIGER 200,102110,46.57970236279104,115840,120473,112364
