Date,Invested,PnL,Balance
2026-05-01,0,0,10000000
2026-05-08,0,0,10000000
2026-05-11,9572730,-113430,9886570
2026-05-12,9881040,-403050,9483520
2026-05-13,9476350,-126880,9356640
2026-05-14,9205000,560000,9916640
2026-05-15,9855650,-482650,9433990
2026-05-18,0,0,9433990
2026-05-19,9428800,-1553760,7880230
2026-05-20,0,0,7880230
2026-05-21,7096800,13750,7893980
2026-05-22,7882560,60480,7954460
2026-05-27,7941120,-189440,7765020
2026-05-28,7731500,-586600,7178420
2026-05-29,7118820,31330,7209750
2026-06-01,7157526,-215344,6994406
2026-06-02,0,0,6994406
2026-06-04,0,0,6994406
2026-06-05,0,0,6994406
2026-06-09,1934494,86573,7080979
2026-06-10,6912700,-40480,7040499
2026-06-11,0,0,7040499
2026-06-12,6846661,273895,7314394
2026-06-15,5004287,143025,7457419
2026-06-16,0,0,7457419
2026-06-17,7400000,-392000,7065419
2026-06-18,0,0,7065419
2026-06-19,7017800,-352400,6713019
2026-06-22,6704400,-1987160,4725859
2026-06-23,0,0,4725859
2026-06-24,841345,13703,4739562
2026-06-25,3625528,-56379,4683183
