시장,종목명,코드,최종확률,예측시점가격,목표가,손절가
KOSPI,삼성전자,005930,54.437037835764876,230000,239200,223100
KOSPI,SK하이닉스,000660,54.505836074997546,1420000,1476800,1377400
KOSPI,삼성SDI,006400,49.72875656170883,481500,500760,467055
KOSPI,삼성전자우,005935,52.341632656647704,172000,178880,166840
KOSPI,SK스퀘어,402340,53.023883579829615,949000,986960,920530
KOSPI,LG전자,066570,49.58723294786599,190000,197600,184300
KOSPI,HD현대중공업,329180,46.27835369279952,532000,553280,516040
KOSPI,한화에어로스페이스,012450,51.480349656617676,1152000,1198080,1117440
KOSPI,한화솔루션,009830,53.510485130637434,35250,36660,34192
KOSPI,삼성전기,009150,53.54255662497239,1274000,1324960,1235780
KOSPI,두산에너빌리티,034020,43.81121284725331,79900,83096,77503
KOSPI,NAVER,035420,51.243110144262516,211500,219960,205155
KOSPI,대원전선,006340,40.512720836586915,14950,15548,14501
KOSPI,현대차,005380,49.326825304156685,408000,424320,395760
KOSPI,광전자,017900,41.24141017542227,8910,9266,8642
KOSPI,GS건설,006360,45.501511826115845,34900,36296,33853
KOSPI,LIG디펜스앤에어로스페이스,079550,47.56174188963131,823000,855920,798310
KOSPI,OCI홀딩스,010060,45.68052965154887,284500,295880,275965
KOSPI,신한지주,055550,44.740792246170194,106400,110656,103208
KOSPI,한미반도체,042700,48.648757146108764,205500,213720,199335
KOSPI,셀트리온,068270,49.59287734282931,201000,209040,194970
KOSPI,KB금융,105560,47.380513424835776,171700,178568,166549
KOSPI,SK이터닉스,475150,51.32982325736617,51300,53352,49761
KOSPI,산일전기,062040,45.76829573653914,183800,191152,178286
KOSPI,SK이노베이션,096770,52.104969762774274,124500,129480,120765
KOSPI,기아,000270,42.07837445360907,135500,140920,131435
KOSPI,대우건설,047040,37.310158125263456,17030,17711,16519
KOSPI,현대모비스,012330,47.84762928737775,505000,525200,489850
KOSPI,효성중공업,298040,46.280620846114765,2934000,3051360,2845980
KOSPI,하나금융지주,086790,50.39805064876857,130400,135616,126488
KOSPI,한화오션,042660,39.518523168841575,94400,98176,91568
KOSPI,SK텔레콤,017670,51.70518083983629,85000,88400,82450
KOSPI,삼성생명,032830,57.767508342112215,280500,291720,272085
KOSPI,POSCO홀딩스,005490,32.62145658351756,336000,349440,325920
KOSPI,LG에너지솔루션,373220,45.56855456574149,367500,382200,356475
KOSPI,에이피알,278470,48.27491875957256,387000,402480,375390
KOSPI,LG이노텍,011070,52.63700344436576,555000,577200,538350
KOSPI,대덕전자,353200,46.435125312197,107600,111904,104372
KOSPI,HD현대일렉트릭,267260,48.22808349196451,764000,794560,741080
KOSPI,엘앤에프,066970,49.67354120486181,101000,105040,97970
KOSPI,HD현대에너지솔루션,322000,48.35416450310237,120300,125112,116691
KOSPI,LS ELECTRIC,010120,47.118628462152515,208500,216840,202245
KOSPI,삼성물산,028260,51.15489618789761,336000,349440,325920
KOSPI,포스코퓨처엠,003670,51.23439967553593,165500,172120,160535
KOSPI,대한전선,001440,36.5418312169915,28900,30056,28033
KOSPI,삼성바이오로직스,207940,51.01662888705209,1569000,1631760,1521930
KOSPI,미래에셋증권,006800,35.23712424457892,36400,37856,35308
KOSPI,카카오,035720,37.03103761892927,39550,41132,38363
KOSPI,고려아연,010130,42.585082479619786,1235000,1284400,1197950
KOSPI,삼양식품,003230,49.66425123664451,1288000,1339520,1249360
KOSPI,이수페타시스,007660,46.33762231418528,93000,96720,90210
KOSPI,삼성E&A,028050,46.29480293102929,48800,50752,47336
KOSPI,LG씨엔에스,064400,50.05569577450939,73600,76544,71392
KOSPI,HD한국조선해양,009540,47.69760759414372,404000,420160,391880
KOSPI,삼성중공업,010140,35.72270312073735,22550,23452,21873
KOSPI,우리금융지주,316140,51.19073087412349,33350,34684,32349
KOSPI,대한항공,003490,43.719271155880854,26850,27924,26044
KOSPI,삼성화재,000810,48.94980757755839,630000,655200,611100
KOSPI,SK,034730,54.778141991282936,513000,533520,497610
KOSPI,두산,000150,43.905919879286834,1233000,1282320,1196010
KOSPI,아모레퍼시픽,090430,49.862073879399006,135800,141232,131726
KOSPI,혜인,003010,45.93728898738561,5930,6167,5752
KOSPI,삼성증권,016360,49.45783027816005,93200,96928,90404
KOSPI,삼성에스디에스,018260,45.457034119213134,222500,231400,215825
KOSPI,KT&G,033780,50.994279279487564,185700,193128,180129
KOSPI,한국항공우주,047810,50.33564908970938,154100,160264,149477
KOSPI,한국금융지주,071050,51.65676604768862,193900,201656,188083
KOSPI,한화시스템,272210,47.76444181400979,77200,80288,74884
KOSPI,LS,006260,46.69540320403325,330000,343200,320100
KOSPI,현대로템,064350,47.5142495788308,150200,156208,145694
KOSPI,두산로보틱스,454910,37.097432194719495,74700,77688,72459
KOSPI,현대글로비스,086280,38.126468193260536,203000,211120,196910
KOSPI,하이브,352820,53.61730347274166,183900,191256,178383
KOSPI,대동,000490,46.064020400340034,7800,8112,7566
KOSPI,금호석유화학,011780,42.00005229899509,125100,130104,121347
KOSPI,DB하이텍,000990,47.383707347268164,91900,95576,89143
KOSPI,LG화학,051910,48.85953143398729,278000,289120,269660
KOSPI,금호타이어,073240,50.422914443290814,7370,7664,7148
KOSPI,현대건설,000720,43.762251652320494,110600,115024,107282
KOSPI,현대해상,001450,48.23749227347812,41000,42640,39770
KOSPI,상상인증권,001290,33.43114603638257,1205,1253,1168
KOSPI,포스코인터내셔널,047050,37.977092255188985,56700,58968,54999
KOSPI,한화엔진,082740,47.07714822612791,46450,48308,45056
KOSPI,티엠씨,217590,48.57720546026213,14190,14757,13764
KOSPI,유니켐,011330,37.09921201703112,5750,5980,5577
KOSPI,키움증권,039490,48.6311182149462,297500,309400,288575
KOSPI,HL만도,204320,43.34395498644691,53800,55952,52186
KOSPI,S-Oil,010950,49.7674146545368,139600,145184,135412
KOSPI,한국전력,015760,46.98865067622664,35700,37128,34629
KOSPI,GS,078930,49.48405385431375,97300,101192,94381
KOSPI,후성,093370,55.29263199590226,10230,10639,9923
KOSPI,두산퓨얼셀,336260,47.32431667758079,33350,34684,32349
KOSPI,HD건설기계,267270,47.22349123334286,143800,149552,139486
KOSPI,LG생활건강,051900,34.83002840954057,320000,332800,310400
KOSPI,신세계,004170,52.105181100681506,432000,449280,419040
KOSPI,LG디스플레이,034220,32.82686643482876,9940,10337,9641
KOSPI,현대오토에버,307950,51.694120881633296,431500,448760,418555
KOSPI,한올바이오파마,009420,36.492528944885166,56900,59176,55193
KOSPI,롯데쇼핑,023530,54.92279167284882,106400,110656,103208
KOSPI,코웨이,021240,42.00344056166189,94300,98072,91471
KOSPI,코리아써키트,007810,50.49827758798706,59100,61464,57327
KOSPI,삼화콘덴서,001820,54.14706150398537,81200,84448,78764
KOSPI,카카오페이,377300,52.34123392532298,44200,45968,42874
KOSPI,HD현대,267250,45.70821830840435,226000,235040,219220
KOSPI,자이에스앤디,317400,48.24423978238246,8750,9100,8487
KOSPI,한국콜마,161890,50.045988354086425,105900,110136,102723
KOSPI,가온전선,000500,50.42386180085814,156500,162760,151805
KOSPI,메리츠금융지주,138040,49.19745521655333,123500,128440,119795
KOSPI,기업은행,024110,49.32916852248464,20250,21060,19642
KOSPI,달바글로벌,483650,49.50696617925336,241500,251160,234255
KOSPI,카카오뱅크,323410,48.554924448742305,22150,23036,21485
KOSPI,일진전기,103590,51.18119632612792,62600,65104,60722
KOSPI,LG,003550,52.229395587705206,107600,111904,104372
KOSPI,넥스틸,092790,38.119358410502315,12870,13384,12483
KOSPI,현대백화점,069960,54.208705205398864,103800,107952,100686
KOSPI,한온시스템,018880,34.000900330525575,3765,3915,3652
KOSPI,삼성전기우,009155,45.14492778593938,443500,461240,430195
KOSPI,롯데케미칼,011170,37.06858326350698,58500,60840,56745
KOSPI,크래프톤,259960,41.64458402957288,242000,251680,234740
KOSPI,씨에스윈드,112610,40.70707255812919,45400,47216,44038
KOSPI,에코프로머티,450080,46.55819033782904,39150,40716,37975
KOSPI,HMM,011200,50.70551732568862,21450,22308,20806
