이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
원자력발전소 해체,8.54,한전기술,20.27,위드텍,1.45
CXL(컴퓨트익스프레스링크),6.65,엑시콘,20.59,삼성전자,0.0
핵융합에너지,6.2,삼화콘덴서,13.53,고려제강,1.07
원자력발전,6.0,한전기술,20.27,효성중공업,-1.33
소캠(SOCAMM),5.94,티엘비,14.67,삼성전자,0.0
건설 대표주,5.89,현대건설,14.87,삼성물산,0.69
국내 상장 중국기업,5.65,헝셩그룹,30.0,씨엑스아이,0.0
반도체 기판(FC-BGA/PCB/MLB 등),5.58,티엘비,14.67,다원넥스뷰,-0.86
HBM(고대역폭메모리),4.99,와이씨,19.02,삼성전자,0.0
고체산화물 연료전지(SOFC),4.53,비에이치아이,13.8,엘티씨,0.0
조림사업,4.47,이건산업,29.96,성창기업지주,-0.38
두나무(Dunamu),4.33,우리기술투자,15.84,네오위즈,-0.33
가상화폐(비트코인 등),4.29,비트플래닛,30.0,티사이언티픽,-1.09
온디바이스 AI,4.28,심텍,11.12,마음AI,-2.19
반도체 장비,4.24,에프에스티,20.8,더코디,-3.7
유리 기판,4.23,이노메트리,22.03,아이씨디,0.57
LED장비,4.04,주성엔지니어링,7.71,티에스이,1.43
반도체 재료/부품,4.01,에프에스티,20.8,샘씨엔에스,-4.05
셰일가스(Shale Gas),3.91,비에이치아이,13.8,SH에너지화학,0.0
귀금속(금/은),3.87,아이티센글로벌,6.86,엘컴텍,0.17
스페이스X(SpaceX),3.81,나노팀,22.33,LG에너지솔루션,-3.45
온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),3.7,이건산업,29.96,에코프로,-3.07
우주태양광(페로브스카이트 등),3.68,HD현대에너지솔루션,8.25,대주전자재료,0.11
스마트카(SMART CAR),3.66,오비고,10.33,유비벨록스,-2.56
STO(토큰증권 발행),3.65,우리기술투자,15.84,SK증권,-0.94
풍력에너지,3.55,한전기술,20.27,서암기계공업,-2.59
전기차 화재 방지(배터리 열폭주 등),3.49,금호에이치티,29.94,제이케이시냅스,-4.75
