이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
반도체와반도체장비,10.51,엔투텍,29.98,LB세미콘,-11.97
생명보험,7.57,미래에셋생명,15.4,동양생명,0.0
비철금속,6.35,국일신동,11.46,이렘,-7.78
생물공학,5.94,인제니아테라퓨틱스(Reg.S),30.0,코오롱티슈진,-16.41
양방향미디어와서비스,4.76,탑코미디어,15.2,판도라티비,-13.14
IT서비스,4.21,더즌,26.05,유디엠텍,-10.53
건축자재,4.02,서산,16.2,일신석재,-10.76
복합기업,3.9,삼성물산,7.78,코오롱,-3.44
생명과학도구및서비스,3.31,소마젠,29.98,메디젠휴먼케어,-3.89
건강관리기술,3.23,루닛,7.65,제이엘케이,-0.3
증권,3.18,SK증권우,29.88,이스트에이드,-3.43
기타,2.95,미래에셋 레버리지 SK하이닉스 단일종목ETN,25.26,SOL SK하이닉스선물단일종목인버스2X,-23.99
식품,2.63,빙그레,9.55,노브메타파마,-8.26
창업투자,2.62,린드먼아시아,12.16,HB인베스트먼트,-1.7
화장품,2.46,코디,11.25,오가닉티코스메틱,-4.99
전기유틸리티,2.44,한국전력,3.08,한전KPS,-0.77
디스플레이장비및부품,2.35,금호전기,29.97,럭스피아,-14.99
소프트웨어,2.1,비트플래닛,29.82,모아데이타,-29.98
무역회사와판매업체,1.97,포스코인터내셔널,3.16,LX인터내셔널,-1.43
통신장비,1.96,아이씨티케이,7.58,코셋,-14.82
제약,1.84,네오이뮨텍,29.88,에이프릴바이오,-19.2
에너지장비및서비스,1.61,HD현대에너지솔루션,7.5,앱튼,-4.02
핸드셋,1.59,PS일렉트로닉스,11.05,알트,-10.26
건강관리업체및서비스,1.47,신테카바이오,19.52,코스리거글로벌,-6.86
교육서비스,1.34,에이럭스,12.9,아이비김영,-2.02
건강관리장비와용품,1.27,삼양바이오팜,29.79,펨토바이오메드,-28.99
출판,1.22,예림당,8.09,웅진,-0.23
전기제품,1.18,웰킵스하이텍,12.42,하이드로리튬,-5.03
인터넷과카탈로그소매,1.14,그래디언트,1.78,청담글로벌,-2.78
가정용품,1.14,비비씨,3.64,지앤이헬스케어,-13.42
운송인프라,1.12,에스디시스템,12.29,한국공항,-3.46
방송과엔터테인먼트,1.03,더콘텐츠온,14.89,덱스터,-14.91
화학,0.88,베셀,9.23,조비,-9.19
게임엔터테인먼트,0.78,미투온,6.76,썸에이지,-6.23
레저용장비와제품,0.67,가이아코퍼레이션,14.85,볼빅,-9.2
디스플레이패널,0.57,오픈놀,3.09,코텍,-0.17
전자제품,0.48,경인전자,5.39,앤씨앤,-3.15
전문소매,0.45,일월지엠엘,3.95,모다이노칩,-1.74
전자장비와기기,0.44,코리아써우,6.63,시스웍,-33.33
종이와목재,0.38,페이퍼코리아,5.81,SUN&L,-2.22
광고,0.36,매드업,5.53,엔비티,-4.23
음료,0.34,나라셀라,2.21,하이트진로홀딩스우,-1.14
부동산,0.34,한국자산신탁,4.41,블루콤,-3.92
포장재,0.34,리더스코스메틱,7.43,대영포장,-1.71
철강,0.32,금강철강,10.33,SHD,-11.4
식품과기본식료품소매,0.29,사토시홀딩스,5.67,한국가구,-0.91
컴퓨터와주변기기,0.24,에이텍,5.98,푸른로보틱스,-7.59
가정용기기와용품,0.22,새로닉스,3.81,폴레드,-3.43
백화점과일반상점,0.21,광주신세계,2.12,대구백화점,-2.99
기타금융,0.04,머니무브,3.33,상상인,-1.05
자동차,0.02,엘브이엠씨홀딩스,1.77,KR모터스,-4.51
사무용전자제품,0.0,신도리코,0.0,신도리코,0.0
복합유틸리티,-0.14,지역난방공사,-0.14,지역난방공사,-0.14
"호텔,레스토랑,레저",-0.18,남화산업,5.55,더본코리아,-3.63
상업서비스와공급품,-0.35,에코아이,8.33,엘리비젼,-12.91
항공사,-0.47,제주항공,3.09,한진칼,-1.55
조선,-0.48,KS인더스트리,13.2,HD현대마린솔루션,-3.1
우주항공과국방,-0.54,RF머트리얼즈,6.82,이노스페이스,-22.28
건설,-0.56,금호건설,24.21,엑시온그룹,-12.56
다각화된소비자서비스,-0.62,이상네트웍스,-0.62,이상네트웍스,-0.62
기계,-0.68,루트K,7.01,져스텍,-8.34
건축제품,-0.72,대림바스,1.33,오션인더블유,-2.85
손해보험,-0.73,인카금융서비스,3.04,DB손해보험,-5.39
석유와가스,-0.79,덕양에너젠,7.38,S-Oil,-5.94
가스유틸리티,-0.84,한진중공업홀딩스,2.66,SK가스,-4.18
다각화된통신서비스,-0.9,세종텔레콤,3.88,KT,-0.95
자동차부품,-0.92,모트렉스,10.54,화신정공,-15.71
판매업체,-0.96,케이옥션,5.11,지어소프트,-4.3
도로와철도운송,-1.01,쏘카,3.56,대아티아이,-6.45
전기장비,-1.07,한중엔시에스,4.68,썬테크,-15.0
무선통신서비스,-1.2,와이어블,2.73,SK텔레콤,-1.43
항공화물운송과물류,-1.46,동방,0.82,로지스몬,-10.81
카드,-1.5,삼성카드,-1.5,삼성카드,-1.5
"섬유,의류,신발,호화품",-1.97,미쥬,14.96,도부,-14.97
담배,-2.05,KT&G,-2.05,KT&G,-2.05
해운사,-2.42,태웅로직스,1.57,STX그린로지스,-10.1
